index,gene,pval,mutsig_score
6275,TP53,1.110223e-16,15.954589779823815
4463,PIK3CA,1.110223e-16,15.954589779823815
4837,PTEN,1.110223e-16,15.954589779823815
3169,KRAS,1.110223e-16,15.954589779823815
253,APC,1.110223e-16,15.954589779823815
4467,PIK3R1,1.110223e-16,15.954589779823815
573,BRAF,1.110223e-16,15.954589779823815
973,CDKN2A,1.110223e-16,15.954589779823815
2011,FBXW7,1.110223e-16,15.954589779823815
4037,NRAS,1.110223e-16,15.954589779823815
2110,FLT3,1.110223e-16,15.954589779823815
2242,GATA3,1.110223e-16,15.954589779823815
923,CDH1,1.110223e-16,15.954589779823815
1587,DNMT3A,1.110223e-16,15.954589779823815
3994,NPM1,1.110223e-16,15.954589779823815
5481,SETD2,2.220446e-16,15.653559784159834
1746,EGFR,4.440892e-16,15.352529788495852
2682,HRAS,4.440892e-16,15.352529788495852
3444,MAP3K1,2.997602e-15,14.523226030152891
1335,CTCF,3.219647e-15,14.492191741458202
354,ARID1A,3.552714e-15,14.449439752606699
6642,VHL,3.552714e-15,14.449439752606699
3880,NF1,3.552714e-15,14.449439752606699
330,ARHGAP35,3.552714e-15,14.449439752606699
3075,KDM6A,3.552714e-15,14.449439752606699
483,BAP1,3.552714e-15,14.449439752606699
5899,STK11,3.552714e-15,14.449439752606699
5696,SMARCA4,3.663736e-15,14.436075828092058
4218,PBRM1,5.329071e-15,14.273348493551017
5688,SMAD4,1.44329e-14,13.840646397426386
3077,KEAP1,1.632028e-14,13.78727239451526
5034,RB1,1.014744e-13,12.993643507908775
5486,SF3B1,1.701972e-13,12.76904758899028
169,AKT1,5.252465e-13,12.27963683285014
421,ATM,1.177392e-12,11.929078919405164
971,CDKN1B,2.345457e-12,11.629772524701007
1832,EP300,2.770228e-12,11.55748448542402
720,CASP8,9.695578e-12,11.013426295432303
5317,RUNX1,1.69379e-11,10.771140435501577
3440,MAP2K4,6.794665e-11,10.167831950592698
2597,HLA-A,6.942924e-11,10.158457588677088
1871,ERBB3,1.83046e-10,9.737439757068756
5812,SPOP,2.141405e-9,8.669301187618538
3719,MTOR,4.020214e-9,8.395750828371883
3749,MYD88,4.267338e-9,8.369842956924769
1348,CTNNB1,4.631095e-9,8.334316310011806
5019,RASA1,9.574849e-9,8.018868066339378
397,ASXL1,1.231455e-8,7.909581453584324
464,B2M,1.98521e-8,7.702193545819123
1870,ERBB2,2.270501e-8,7.6438783024860335
3074,KDM5C,3.433443e-8,7.464270158111322
5266,RPL5,5.523803e-8,7.257761818424062
1063,CHD4,2.005526e-7,6.6977717033740145
2748,IDH2,2.62115e-7,6.581508125063222
734,CBFB,3.424594e-7,6.465390908554385
2073,FGFR2,1.18189e-6,5.927422941911666
3890,NFE2L2,1.217357e-6,5.914582042645878
1264,CREBBP,1.722246e-6,5.7639048152446755
514,BCOR,2.262305e-6,5.6454488446415185
4960,RAC1,5.718566e-6,5.242712862179903
3972,NOTCH1,8.476493e-6,5.071783792292398
