index,gene,Degree
2477,GSK3B,601
946,CDK1,521
4738,PRKCA,482
3470,MAPK14,455
956,CDK2,442
4729,PRKACA,435
3465,MAPK1,400
5827,SRC,368
6513,UBE2I,338
5283,RPS6KA3,330
1324,CSNK2A1,319
169,AKT1,316
6275,TP53,294
3476,MAPK8,289
3472,MAPK3,278
4739,PRKCB,270
421,ATM,236
1325,CSNK2A2,224
1746,EGFR,208
4751,PRKDC,201
19,ABL1,194
2181,FYN,161
3480,MAPK9,154
1320,CSNK1E,151
2909,INSR,148
1348,CTNNB1,143
2348,GNAI1,142
2350,GNAI3,138
4740,PRKCD,137
4684,PPP2CA,134
2962,ITGB1,133
4556,PLK1,130
3466,MAPK10,123
3216,LCK,119
4730,PRKACB,119
961,CDK5,118
680,CAMK2A,117
2783,IGF1R,114
4726,PRKAA1,114
3386,LYN,113
1832,EP300,110
4960,RAC1,110
291,AR,105
1317,CSNK1A1,99
4179,PAK1,99
4752,PRKG1,99
1897,ESR1,97
2353,GNAQ,97
4685,PPP2CB,97
2352,GNAO1,95
5120,RHOA,95
5687,SMAD3,95
715,CASP3,94
449,AURKA,92
2354,GNAS,92
440,ATR,88
2346,GNA14,87
3972,NOTCH1,86
1319,CSNK1D,85
1870,ERBB2,85
3745,MYC,85
3890,NFE2L2,85
5885,STAT3,85
670,CALM1,84
5498,SGK1,84
2357,GNAZ,83
121,ADRB2,82
2991,JAK2,82
5281,RPS6KA1,82
171,AKT2,76
1259,CREB1,75
2800,IKBKB,75
4854,PTK2,75
5786,SP1,75
2476,GSK3A,74
1689,E2F1,73
4660,PPP1CA,73
2933,IRS1,72
3481,MAPKAPK2,72
905,CDC42,71
4747,PRKCZ,71
4748,PRKD1,70
970,CDKN1A,69
2146,FOXO1,69
672,CALM3,68
1065,CHEK1,68
671,CALM2,67
2630,HNF4A,67
3487,MAPT,67
3580,MET,67
5686,SMAD2,66
451,AURKB,65
2072,FGFR1,65
4980,RAF1,64
5964,SYK,64
2351,GNAL,63
3552,MDM2,63
5014,RARA,63
5287,RPS6KB1,63
4865,PTPN11,62
3344,LRP6,61
4877,PTPN6,61
471,BAD,60
2467,GRM7,60
2529,HCK,60
3006,JUN,60
4741,PRKCE,60
5528,SHC1,60
2990,JAK1,59
3717,MTNR1A,58
4864,PTPN1,58
5883,STAT1,58
1313,CSK,57
2147,FOXO3,57
2349,GNAI2,57
2965,ITGB3,57
4727,PRKAA2,57
5076,RELA,57
117,ADRA2A,56
1264,CREBBP,56
4467,PIK3R1,56
3898,NFKBIA,55
4535,PLCG1,55
3719,MTOR,54
4326,PDGFRB,54
282,APP,53
502,BCL2,53
1066,CHEK2,53
3335,LRP1,53
4344,PDPK1,53
4662,PPP1CC,51
683,CAMK2G,50
5803,SPI1,50
971,CDKN1B,49
1098,CHUK,49
3455,MAP3K7,49
4637,PPARG,49
5245,ROCK1,49
5572,SIRT1,49
1549,DLG4,48
6115,TGFBR1,48
735,CBL,47
4463,PIK3CA,47
5688,SMAD4,47
1436,DAPK1,46
2435,GRB2,46
4837,PTEN,46
5085,RET,46
4661,PPP1CB,45
4742,PRKCG,45
960,CDK4,44
1871,ERBB3,44
2964,ITGB2,44
575,BRCA1,43
1670,DVL1,43
2075,FGFR4,43
2344,GNA12,43
2682,HRAS,43
