index1,gene1,index2,gene2
1,A1BG,1271,CRISP3
2,A2M,1356,CTSE
2,A2M,3335,LRP1
2,A2M,3646,MMP2
2,A2M,3654,MMP9
3,AAK1,241,AP1M1
3,AAK1,244,AP2M1
3,AAK1,946,CDK1
3,AAK1,956,CDK2
3,AAK1,2477,GSK3B
3,AAK1,3465,MAPK1
3,AAK1,3476,MAPK8
3,AAK1,4087,NUMB
3,AAK1,4739,PRKCB
3,AAK1,5908,STK38
4,AANAT,3717,MTNR1A
4,AANAT,3718,MTNR1B
4,AANAT,4729,PRKACA
4,AANAT,4738,PRKCA
4,AANAT,5283,RPS6KA3
5,AATF,421,ATM
5,AATF,1066,CHEK2
5,AATF,3481,MAPKAPK2
6,AATK,962,CDK5R1
6,AATK,2181,FYN
6,AATK,5910,STK39
7,ABCA1,266,APOA1
7,ABCA1,279,APOE
7,ABCA1,1324,CSNK2A1
7,ABCA1,1746,EGFR
7,ABCA1,1946,FADD
7,ABCA1,3284,LIN7C
7,ABCA1,3569,MEGF10
7,ABCA1,4566,PLTP
7,ABCA1,4729,PRKACA
7,ABCA1,4739,PRKCB
7,ABCA1,4752,PRKG1
7,ABCA1,5135,RIMS2
7,ABCA1,5283,RPS6KA3
7,ABCA1,5522,SHANK1
7,ABCA1,5744,SNTB2
8,ABCA7,266,APOA1
9,ABCB1,2146,FOXO1
9,ABCB1,2147,FOXO3
9,ABCB1,4729,PRKACA
9,ABCB1,4738,PRKCA
9,ABCB1,5283,RPS6KA3
9,ABCB1,6275,TP53
10,ABCB9,946,CDK1
10,ABCB9,2477,GSK3B
10,ABCB9,3476,MAPK8
11,ABCC1,1324,CSNK2A1
11,ABCC1,3890,NFE2L2
12,ABCC2,3890,NFE2L2
12,ABCC2,5014,RARA
13,ABCC3,3890,NFE2L2
13,ABCC3,5786,SP1
14,ABCC8,4729,PRKACA
15,ABCF1,1320,CSNK1E
15,ABCF1,1324,CSNK2A1
15,ABCF1,4730,PRKACB
16,ABCG2,4475,PIM1
17,ABI1,19,ABL1
17,ABI1,680,CAMK2A
17,ABI1,735,CBL
17,ABI1,946,CDK1
17,ABI1,1641,DTNBP1
17,ABI1,3465,MAPK1
17,ABI1,3472,MAPK3
18,ABI2,3917,NHS
19,ABL1,20,ABL2
19,ABL1,31,ACAP2
19,ABL1,50,ACTB
19,ABL1,146,AHSA1
19,ABL1,235,ANXA1
19,ABL1,252,APBB1
19,ABL1,282,APP
19,ABL1,330,ARHGAP35
19,ABL1,338,ARHGDIB
19,ABL1,421,ATM
19,ABL1,440,ATR
19,ABL1,495,BCAR1
19,ABL1,516,BCR
19,ABL1,575,BRCA1
19,ABL1,600,BTK
19,ABL1,722,CASP9
19,ABL1,727,CAT
19,ABL1,729,CAV1
19,ABL1,735,CBL
19,ABL1,824,CD19
19,ABL1,915,CDC73
19,ABL1,946,CDK1
19,ABL1,961,CDK5
19,ABL1,971,CDKN1B
19,ABL1,980,CDON
19,ABL1,984,CDV3
19,ABL1,1001,CEBPB
19,ABL1,1057,CHCHD2
19,ABL1,1091,CHRNB1
19,ABL1,1115,CKMT1A
19,ABL1,1153,CLK1
19,ABL1,1156,CLK4
19,ABL1,1272,CRK
19,ABL1,1273,CRKL
